parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.nouni#0.year3",.34952081,.00534077,1246,65.443932,0,.33904292,.3599987,0,0,0
"0.male#0.nouni#1.year3",.33269995,.00598871,1246,55.554532,0,.32095088,.34444901,0,0,1
"0.male#0.nouni#2.year3",.33927626,.00681638,1246,49.773702,1.79e-298,.32590342,.3526491,0,0,2
"0.male#0.nouni#3.year3",.33482998,.00550758,1246,60.794342,0,.32402482,.34563515,0,0,3
"0.male#0.nouni#4.year3",.34370946,.00566851,1246,60.634881,0,.33258858,.35483033,0,0,4
"0.male#0.nouni#5.year3",.34960862,.00565994,1246,61.768979,0,.33850456,.36071268,0,0,5
"0.male#1.nouni#0.year3",.41985834,.00384632,1246,109.15844,0,.41231236,.42740432,0,1,0
"0.male#1.nouni#1.year3",.42353577,.00425687,1246,99.494646,0,.41518435,.43188719,0,1,1
"0.male#1.nouni#2.year3",.41925493,.00459781,1246,91.185784,0,.41023462,.42827523,0,1,2
"0.male#1.nouni#3.year3",.43775654,.00443357,1246,98.73688,0,.42905846,.44645462,0,1,3
"0.male#1.nouni#4.year3",.45024555,.00463854,1246,97.066159,0,.44114534,.45934577,0,1,4
"0.male#1.nouni#5.year3",.45844995,.00468402,1246,97.875254,0,.44926051,.46763939,0,1,5
"1.male#0.nouni#0.year3",.28901081,.00489882,1246,58.995964,0,.27939996,.29862166,1,0,0
"1.male#0.nouni#1.year3",.27497629,.00535862,1246,51.314726,1.44e-309,.26446337,.28548921,1,0,1
"1.male#0.nouni#2.year3",.27676551,.00673782,1246,41.076442,6.62e-234,.2635468,.28998423,1,0,2
"1.male#0.nouni#3.year3",.27258023,.00552416,1246,49.343261,2.36e-295,.26174254,.28341792,1,0,3
"1.male#0.nouni#4.year3",.30165704,.00592895,1246,50.878665,1.93e-306,.29002522,.31328887,1,0,4
"1.male#0.nouni#5.year3",.30535502,.00559157,1246,54.609887,0,.29438509,.31632495,1,0,5
"1.male#1.nouni#0.year3",.37053372,.00451399,1246,82.085677,0,.36167786,.37938957,1,1,0
"1.male#1.nouni#1.year3",.37347129,.00468331,1246,79.745127,0,.36428324,.38265934,1,1,1
"1.male#1.nouni#2.year3",.36701759,.00529865,1246,69.266248,0,.35662233,.37741285,1,1,2
"1.male#1.nouni#3.year3",.39471205,.00497138,1246,79.396931,0,.38495885,.40446524,1,1,3
"1.male#1.nouni#4.year3",.39785274,.00504195,1246,78.908442,0,.38796108,.4077444,1,1,4
"1.male#1.nouni#5.year3",.40908393,.00541129,1246,75.598213,0,.39846768,.41970018,1,1,5
