parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.nouni#0.year3",.00521032,.0005446,1246,9.5671632,5.654e-21,.00414187,.00627876,0,0,0
"0.male#0.nouni#1.year3",.00484284,.00062428,1246,7.7575202,1.793e-14,.00361809,.00606759,0,0,1
"0.male#0.nouni#2.year3",.0045776,.00064645,1246,7.0811692,2.383e-12,.00330936,.00584585,0,0,2
"0.male#0.nouni#3.year3",.00526035,.00060106,1246,8.7517341,6.706e-18,.00408114,.00643956,0,0,3
"0.male#0.nouni#4.year3",.0042887,.00053456,1246,8.0227911,2.367e-15,.00323995,.00533744,0,0,4
"0.male#0.nouni#5.year3",.00633332,.00060406,1246,10.484656,1.047e-24,.00514824,.00751839,0,0,5
"0.male#1.nouni#0.year3",.01504346,.00062735,1246,23.979378,8.64e-105,.01381268,.01627424,0,1,0
"0.male#1.nouni#1.year3",.01537645,.00076142,1246,20.194398,1.116e-78,.01388264,.01687026,0,1,1
"0.male#1.nouni#2.year3",.01596092,.00094539,1246,16.882833,9.561e-58,.01410618,.01781566,0,1,2
"0.male#1.nouni#3.year3",.01484219,.00062773,1246,23.644322,2.10e-102,.01361067,.01607371,0,1,3
"0.male#1.nouni#4.year3",.01669812,.00078065,1246,21.38989,1.037e-86,.01516658,.01822966,0,1,4
"0.male#1.nouni#5.year3",.01641703,.00075636,1246,21.705168,7.275e-89,.01493314,.01790092,0,1,5
"1.male#0.nouni#0.year3",.00454535,.00056192,1246,8.0889412,1.416e-15,.00344293,.00564776,1,0,0
"1.male#0.nouni#1.year3",.00326045,.0004877,1246,6.685351,3.467e-11,.00230364,.00421725,1,0,1
"1.male#0.nouni#2.year3",.00332425,.00057023,1246,5.8296201,7.069e-09,.00220553,.00444298,1,0,2
"1.male#0.nouni#3.year3",.0040174,.00052227,1246,7.6922108,2.924e-14,.00299278,.00504203,1,0,3
"1.male#0.nouni#4.year3",.00295024,.00039709,1246,7.4296788,2.014e-13,.00217121,.00372928,1,0,4
"1.male#0.nouni#5.year3",.00327617,.00041958,1246,7.808197,1.223e-14,.00245301,.00409933,1,0,5
"1.male#1.nouni#0.year3",.0104123,.00058368,1246,17.839119,1.433e-63,.0092672,.0115574,1,1,0
"1.male#1.nouni#1.year3",.00999655,.00061591,1246,16.230463,6.905e-54,.00878821,.01120489,1,1,1
"1.male#1.nouni#2.year3",.01068187,.00066912,1246,15.964137,2.434e-52,.00936915,.01199459,1,1,2
"1.male#1.nouni#3.year3",.01156685,.00065706,1246,17.603949,4.040e-62,.01027779,.01285592,1,1,3
"1.male#1.nouni#4.year3",.01116312,.00075155,1246,14.853394,4.516e-46,.00968867,.01263757,1,1,4
"1.male#1.nouni#5.year3",.01210121,.00075153,1246,16.102144,3.861e-53,.01062681,.01357561,1,1,5
