parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.nouni#0.year3",.2648725,.00487435,1246,54.340082,0,.25530967,.27443534,0,0,0
"0.male#0.nouni#1.year3",.24574482,.00564198,1246,43.556498,1.29e-252,.23467599,.25681365,0,0,1
"0.male#0.nouni#2.year3",.24740577,.0061202,1246,40.424467,5.89e-229,.23539873,.2594128,0,0,2
"0.male#0.nouni#3.year3",.25489677,.00504412,1246,50.533437,5.88e-304,.24500086,.26479267,0,0,3
"0.male#0.nouni#4.year3",.26576434,.00500952,1246,53.051898,6.23e-322,.25593633,.27559236,0,0,4
"0.male#0.nouni#5.year3",.26738857,.0050598,1246,52.845669,1.80e-320,.2574619,.27731524,0,0,5
"0.male#1.nouni#0.year3",.34235889,.00362083,1246,94.552545,0,.33525528,.34946249,0,1,0
"0.male#1.nouni#1.year3",.35685412,.0039581,1246,90.157931,0,.34908885,.3646194,0,1,1
"0.male#1.nouni#2.year3",.35440973,.00451297,1246,78.531353,0,.34555587,.36326359,0,1,2
"0.male#1.nouni#3.year3",.36802925,.00412644,1246,89.188027,0,.35993371,.3761248,0,1,3
"0.male#1.nouni#4.year3",.38530947,.00430184,1246,89.568472,0,.37686982,.39374913,0,1,4
"0.male#1.nouni#5.year3",.39144148,.0045755,1246,85.551654,0,.38246495,.40041801,0,1,5
"1.male#0.nouni#0.year3",.23105751,.00460507,1246,50.174621,2.27e-301,.22202296,.24009205,1,0,0
"1.male#0.nouni#1.year3",.22542724,.00500961,1246,44.998996,2.12e-263,.21559904,.23525543,1,0,1
"1.male#0.nouni#2.year3",.22703653,.00613447,1246,37.009937,6.93e-203,.21500149,.23907157,1,0,2
"1.male#0.nouni#3.year3",.22457265,.00516915,1246,43.444827,8.90e-252,.21443146,.23471384,1,0,3
"1.male#0.nouni#4.year3",.24550749,.00549028,1246,44.716779,2.70e-261,.23473629,.2562787,1,0,4
"1.male#0.nouni#5.year3",.24850803,.00513147,1246,48.428229,1.08e-288,.23844075,.25857531,1,0,5
"1.male#1.nouni#0.year3",.3172514,.00413161,1246,76.786343,0,.30914572,.32535709,1,1,0
"1.male#1.nouni#1.year3",.32082522,.00446249,1246,71.893709,0,.31207039,.32958005,1,1,1
"1.male#1.nouni#2.year3",.31570797,.00507398,1246,62.221025,0,.30575349,.32566245,1,1,2
"1.male#1.nouni#3.year3",.34146475,.00461209,1246,74.036813,0,.33241642,.35051308,1,1,3
"1.male#1.nouni#4.year3",.35069536,.00453945,1246,77.254983,0,.34178954,.35960117,1,1,4
"1.male#1.nouni#5.year3",.3558684,.00516545,1246,68.89394,0,.34573446,.36600235,1,1,5
