parm,estimate,stderr,dof,t,p,min95,max95,male,univ,year
"0.male#0.nouni#0.year3",.16319717,.00396644,1246,41.144446,2.02e-234,.15541552,.17097882,0,0,0
"0.male#0.nouni#1.year3",.16475013,.0044773,1246,36.796761,2.98e-201,.15596626,.17353401,0,0,1
"0.male#0.nouni#2.year3",.17629865,.00545114,1246,32.341636,4.17e-167,.16560423,.18699307,0,0,2
"0.male#0.nouni#3.year3",.16916252,.00414665,1246,40.795024,9.03e-232,.16102734,.1772977,0,0,3
"0.male#0.nouni#4.year3",.16599549,.00450411,1246,36.854229,1.08e-201,.15715901,.17483196,0,0,4
"0.male#0.nouni#5.year3",.17181852,.00437017,1246,39.316195,1.61e-220,.16324481,.18039222,0,0,5
"0.male#1.nouni#0.year3",.20389231,.00298885,1246,68.217714,0,.19802858,.20975604,0,1,0
"0.male#1.nouni#1.year3",.2050634,.00339648,1246,60.375283,0,.19839995,.21172685,0,1,1
"0.male#1.nouni#2.year3",.19412508,.0037351,1246,51.973256,2.85e-314,.18679731,.20145285,0,1,2
"0.male#1.nouni#3.year3",.21424175,.00377887,1246,56.694616,0,.2068281,.22165541,0,1,3
"0.male#1.nouni#4.year3",.21558283,.0037539,1246,57.429024,0,.20821817,.22294749,0,1,4
"0.male#1.nouni#5.year3",.21861336,.00373797,1246,58.484545,0,.21127995,.22594676,0,1,5
"1.male#0.nouni#0.year3",.11494446,.00369526,1246,31.10595,1.11e-157,.10769485,.12219408,1,0,0
"1.male#0.nouni#1.year3",.10622529,.00379948,1246,27.957814,6.50e-134,.09877119,.11367938,1,0,1
"1.male#0.nouni#2.year3",.10744647,.00450061,1246,23.873734,4.90e-104,.09861685,.11627608,1,0,2
"1.male#0.nouni#3.year3",.10500241,.00382267,1246,27.46833,2.90e-130,.09750283,.112502,1,0,3
"1.male#0.nouni#4.year3",.12210301,.00418856,1246,29.151517,7.16e-143,.1138856,.13032043,1,0,4
"1.male#0.nouni#5.year3",.12420585,.00403904,1246,30.751299,5.55e-155,.11628177,.13212993,1,0,5
"1.male#1.nouni#0.year3",.15635278,.00312603,1246,50.016334,3.15e-300,.15021991,.16248565,1,1,0
"1.male#1.nouni#1.year3",.16025385,.00333324,1246,48.07747,3.95e-286,.15371446,.16679324,1,1,1
"1.male#1.nouni#2.year3",.15129655,.00386675,1246,39.127576,4.43e-219,.14371049,.15888261,1,1,2
"1.male#1.nouni#3.year3",.17236039,.00362298,1246,47.574207,1.92e-282,.16525257,.1794682,1,1,3
"1.male#1.nouni#4.year3",.17472874,.00403955,1246,43.254454,2.39e-250,.16680366,.18265382,1,1,4
"1.male#1.nouni#5.year3",.18557624,.00409656,1246,45.300472,1.21e-265,.17753932,.19361316,1,1,5
